Offer,Description,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Canara Bank Rupay Platinum Secured Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Canara Bank Rupay Select Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Canara Bank Rupay Select Secured Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,CMA One Bobcard (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,CSC Small Business MoneyBack Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Fed Starbiz Rupay Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Federal Bank Rupay Signet Credit Card (RuPay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Federal Bank Scapia Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Federal Bank Wave Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Fibe Axis Bank Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,HDFC Bank Biz First Credit Card (RuPay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,HDFC Bank Biz Grow Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,HDFC Bank Biz Power Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,HDFC Bank UPI Rupay Biz Credit Card (RuPay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,HDFC Bank UPI RuPay Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,HDFC Bharat Credit Card (RuPay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,HDFC Pixel Go Credit Card (RuPay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,HDFC Pixel Play Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,HPCL Energie Bobcard (Rupay),,,PhonePe UPI,
